id,name,code,description
1,Classroom Teaching Staff,Educators responsible for planning and delivering lessons.,"Class teachers, subject specialists, SEN teachers"
2,Senior Leadership Team (SLT),Strategic oversight and school-wide decision makers.,"Headteacher, Deputy Heads, Assistant Heads"
3,Administrative Services Staff,"Handles day-to-day operations, communications, and clerical tasks.","Office staff, receptionists, attendance officers"
4,Operational Support Staff,Staff who provide essential logistical and technical support.,"Site managers, IT technicians, catering, cleaning staff"
5,Classroom Support Staff,Direct classroom assistants supporting teaching and pupil progress.,"Teaching Assistants, Learning Support Assistants, SEN Support"
6,Student Teaching Staff,"Staff undergoing training placements, often supervised by mentors.","Student teachers, PGCE trainees, NQTs"
7,Pastoral Care Team,"Oversees student well-being, behaviour, and safeguarding.","Pastoral leads, counsellors, safeguarding officers"
8,Inclusion & SEND Team,Manages special educational needs and inclusion initiatives.,"SENCO, inclusion leads, support specialists"
9,Extracurricular Coordinators,"Facilitates after-school programs, clubs, and enrichment activities.","Sports coaches, music instructors, club leads"
10,Governance & Compliance,"Ensures regulatory alignment, inspections, and policy frameworks.","Governors, compliance leads, policy officers"
11,Early Years Foundation Staff,Staff dedicated to nursery and reception-level education.,EYFS teachers and assistants
