"id","name","description","typical_members","created_at","updated_at"
"1","Classroom Teaching Staff","Educators responsible for planning and delivering lessons.","Class teachers, subject specialists, SEN teachers","2025-07-28 19:15:18","2025-07-28 19:15:18"
"2","Senior Leadership Team (SLT)","Strategic oversight and school-wide decision makers.","Headteacher, Deputy Heads, Assistant Heads","2025-07-28 19:15:18","2025-07-28 19:15:18"
"3","Administrative Services Staff","Handles day-to-day operations, communications, and clerical tasks.","Office staff, receptionists, attendance officers","2025-07-28 19:15:18","2025-07-28 19:15:18"
"4","Operational Support Staff","Staff who provide essential logistical and technical support.","Site managers, IT technicians, catering, cleaning staff","2025-07-28 19:15:18","2025-07-28 19:15:18"
"5","Classroom Support Staff","Direct classroom assistants supporting teaching and pupil progress.","Teaching Assistants, Learning Support Assistants, SEN Support","2025-07-28 19:15:18","2025-07-28 19:15:18"
"6","Student Teaching Staff","Staff undergoing training placements, often supervised by mentors.","Student teachers, PGCE trainees, NQTs","2025-07-28 19:15:18","2025-07-28 19:15:18"
"7","Pastoral Care Team","Oversees student well-being, behaviour, and safeguarding.","Pastoral leads, counsellors, safeguarding officers","2025-07-28 19:15:18","2025-07-28 19:15:18"
"8","Inclusion & SEND Team","Manages special educational needs and inclusion initiatives.","SENCO, inclusion leads, support specialists","2025-07-28 19:15:18","2025-07-28 19:15:18"
"9","Extracurricular Coordinators","Facilitates after-school programs, clubs, and enrichment activities.","Sports coaches, music instructors, club leads","2025-07-28 19:15:18","2025-07-28 19:15:18"
"10","Governance & Compliance","Ensures regulatory alignment, inspections, and policy frameworks.","Governors, compliance leads, policy officers","2025-07-28 19:15:18","2025-07-28 19:15:18"
"11","Early Years Foundation Staff","Staff dedicated to nursery and reception-level education.","EYFS teachers and assistants","2025-07-28 19:15:18","2025-07-28 19:15:18"
